,County,Don Blankenship,Donald J. Trump,Howie Hawkins,Jo Jorgensen,Joseph R. Biden,election_winner
0,ALAMANCE,151,46056,223,686,38825,Trump
1,ALEXANDER,24,15888,18,127,4145,Trump
2,ALLEGHANY,5,4527,15,35,1486,Trump
3,ANSON,19,5321,14,41,5789,Biden
4,ASHE,27,11451,23,126,4164,Trump
5,AVERY,10,7172,13,56,2191,Trump
6,BEAUFORT,37,16437,30,137,9633,Trump
7,BERTIE,8,3817,15,29,5939,Biden
8,BLADEN,20,9676,18,68,7326,Trump
9,BRUNSWICK,91,55850,119,642,33310,Trump
10,BUNCOMBE,225,62412,542,1460,96515,Biden
11,BURKE,43,31019,83,270,13118,Trump
12,CABARRUS,144,63237,253,1096,52162,Trump
13,CALDWELL,52,32119,60,273,10245,Trump
14,CAMDEN,5,4312,8,76,1537,Trump
15,CARTERET,57,30028,64,373,12093,Trump
16,CASWELL,8,7089,19,64,4860,Trump
17,CATAWBA,130,56588,194,652,25689,Trump
18,CHATHAM,60,21186,90,366,26787,Biden
19,CHEROKEE,39,12628,49,95,3583,Trump
20,CHOWAN,5,4471,7,47,3247,Trump
21,CLAY,11,5112,14,46,1699,Trump
22,CLEVELAND,74,33798,81,329,16955,Trump
23,COLUMBUS,33,16832,23,88,9446,Trump
24,CRAVEN,73,31032,92,626,21148,Trump
25,CUMBERLAND,244,60032,423,1645,84469,Biden
26,CURRITUCK,24,11657,29,209,4195,Trump
27,DARE,31,13938,47,223,9936,Trump
28,DAVIDSON,189,64658,187,703,22636,Trump
29,DAVIE,32,18228,53,213,6713,Trump
30,DUPLIN,17,13793,33,84,8767,Trump
31,DURHAM,206,32459,519,1504,144688,Biden
32,EDGECOMBE,27,9206,33,97,16089,Biden
33,FORSYTH,298,85064,499,1785,113033,Biden
34,FRANKLIN,73,20901,75,333,15879,Trump
35,GASTON,142,73033,225,910,40959,Trump
36,GATES,7,3367,4,41,2546,Trump
37,GRAHAM,13,3710,5,26,905,Trump
38,GRANVILLE,31,16647,55,244,14565,Trump
39,GREENE,4,4874,8,26,3832,Trump
40,GUILFORD,423,107294,704,2232,173086,Biden
41,HALIFAX,24,10080,31,62,15545,Biden
42,HARNETT,80,35177,125,708,22093,Trump
43,HAYWOOD,56,22834,89,334,13144,Trump
44,HENDERSON,131,40032,175,670,27211,Trump
45,HERTFORD,7,3479,9,28,7097,Biden
46,HOKE,31,9453,50,262,11804,Biden
47,HYDE,1,1418,6,17,1046,Trump
48,IREDELL,150,67010,178,907,33888,Trump
49,JACKSON,58,11356,102,257,9591,Trump
50,JOHNSTON,150,68353,215,1164,41257,Trump
51,JONES,5,3280,5,34,2197,Trump
52,LEE,47,16469,65,235,12143,Trump
53,LENOIR,30,14590,29,126,13605,Trump
54,LINCOLN,59,36341,87,373,13274,Trump
55,MACON,24,14211,31,169,6230,Trump
56,MADISON,19,7979,37,103,4901,Trump
57,MARTIN,16,6532,13,59,5911,Trump
58,MCDOWELL,21,16883,45,184,5832,Trump
59,MECKLENBURG,763,179211,1611,5427,378107,Biden
60,MITCHELL,12,7090,11,47,1867,Trump
61,MONTGOMERY,11,8411,13,78,4327,Trump
62,MOORE,70,36764,85,520,20779,Trump
63,NASH,56,25827,75,287,25947,Biden
64,NEW HANOVER,171,63331,362,1521,66138,Biden
65,NORTHAMPTON,7,3989,10,30,6069,Biden
66,ONSLOW,100,46078,136,1506,24266,Trump
67,ORANGE,82,20176,217,653,63594,Biden
68,PAMLICO,5,4849,10,44,2713,Trump
69,PASQUOTANK,36,9770,48,161,9832,Biden
70,PENDER,46,21956,63,329,11723,Trump
71,PERQUIMANS,16,4903,18,44,2492,Trump
72,PERSON,36,13184,42,144,8465,Trump
73,PITT,125,38982,210,796,47252,Biden
74,POLK,17,7689,23,86,4518,Trump
75,RANDOLPH,75,56894,123,506,15618,Trump
76,RICHMOND,24,11830,35,99,8754,Trump
77,ROBESON,61,27806,73,161,19020,Trump
78,ROCKINGHAM,55,31301,75,312,15992,Trump
79,ROWAN,99,49297,154,577,23114,Trump
80,RUTHERFORD,53,24891,60,218,9135,Trump
81,SAMPSON,29,17411,23,143,10966,Trump
82,SCOTLAND,14,7473,31,54,7186,Trump
83,STANLY,48,25458,32,225,8129,Trump
84,STOKES,29,20142,30,180,5286,Trump
85,SURRY,42,27538,45,235,8721,Trump
86,SWAIN,19,4161,19,72,2780,Trump
87,TRANSYLVANIA,34,11636,50,180,8444,Trump
88,TYRRELL,2,1044,2,8,758,Trump
89,UNION,171,80382,238,1136,48725,Trump
90,VANCE,34,8391,24,94,12431,Biden
91,WAKE,884,226197,1612,7514,393336,Biden
92,WARREN,32,3752,29,63,6400,Biden
93,WASHINGTON,7,2781,2,17,3396,Biden
94,WATAUGA,43,14451,103,386,17122,Biden
95,WAYNE,71,30709,92,378,24215,Trump
96,WILKES,57,27592,40,214,7511,Trump
97,WILSON,41,19581,56,245,20754,Biden
98,YADKIN,33,15933,28,131,3763,Trump
99,YANCEY,18,7516,27,82,3688,Trump
