County,CST,DEM,LIB,REP,winner_party
ALAMANCE,,39586.0,,44853.0,REP
ALEXANDER,,4201.0,,15178.0,REP
ALLEGHANY,,1439.0,,4425.0,REP
ANSON,,5775.0,,5193.0,DEM
ASHE,,4095.0,,11221.0,REP
AVERY,,2009.0,,6945.0,REP
BEAUFORT,,9348.0,,16081.0,REP
BERTIE,,5825.0,,3627.0,DEM
BLADEN,,7048.0,296.0,9119.0,REP
BRUNSWICK,,29527.0,2646.0,54154.0,REP
BUNCOMBE,,94096.0,,62521.0,DEM
BURKE,,13976.0,,29708.0,REP
CABARRUS,,49345.0,,64217.0,REP
CALDWELL,,10060.0,,31266.0,REP
CAMDEN,,1602.0,,4154.0,REP
CARTERET,,10932.0,1507.0,28690.0,REP
CASWELL,,4818.0,,6918.0,REP
CATAWBA,,24910.0,,57050.0,REP
CHATHAM,,26237.0,,20679.0,DEM
CHEROKEE,,3567.0,,12638.0,REP
CHOWAN,,3313.0,,4336.0,REP
CLAY,,1656.0,,5015.0,REP
CLEVELAND,,16084.0,,33942.0,REP
COLUMBUS,,9215.0,,16634.0,REP
CRAVEN,,19405.0,2174.0,29565.0,REP
CUMBERLAND,,84568.0,,58894.0,DEM
CURRITUCK,,4360.0,,11327.0,REP
DARE,,10801.0,,12588.0,REP
DAVIDSON,,21278.0,,66054.0,REP
DAVIE,,7119.0,,17734.0,REP
DUPLIN,,8350.0,,13520.0,REP
DURHAM,,140391.0,1745.0,32717.0,DEM
EDGECOMBE,,16017.0,,8952.0,DEM
FORSYTH,,110103.0,,84740.0,DEM
FRANKLIN,,15899.0,1219.0,19397.0,REP
GASTON,,38381.0,,73297.0,REP
GATES,,2666.0,,3114.0,REP
GRAHAM,,876.0,,3440.0,REP
GRANVILLE,,14231.0,901.0,15567.0,REP
GREENE,,4326.0,,4251.0,DEM
GUILFORD,,169812.0,,104051.0,DEM
HALIFAX,,14723.0,,10370.0,DEM
HARNETT,,21732.0,,34911.0,REP
HAYWOOD,,13149.0,,22546.0,REP
HENDERSON,,25497.0,,41517.0,REP
HERTFORD,,6862.0,,3314.0,DEM
HOKE,,12277.0,,8629.0,DEM
HYDE,,1092.0,,1328.0,REP
IREDELL,,30479.0,,67996.0,REP
JACKSON,,9477.0,,11460.0,REP
JOHNSTON,,39597.0,,67501.0,REP
JONES,,2190.0,,3151.0,REP
LEE,,12314.0,,15648.0,REP
LENOIR,,13079.0,,14816.0,REP
LINCOLN,,12559.0,,35683.0,REP
MACON,,5513.0,,14804.0,REP
MADISON,,5053.0,,7546.0,REP
MARTIN,,5867.0,,6253.0,REP
MCDOWELL,,6204.0,,16098.0,REP
MECKLENBURG,32295.0,363204.0,4336.0,138423.0,DEM
MITCHELL,,2182.0,,6549.0,REP
MONTGOMERY,,4131.0,,8156.0,REP
MOORE,,20209.0,,36116.0,REP
NASH,,24976.0,,26419.0,REP
NEW HANOVER,,62727.0,101.0,64550.0,REP
NORTHAMPTON,,5991.0,,3798.0,DEM
ONSLOW,,23641.0,,45856.0,REP
ORANGE,,62192.0,,20337.0,DEM
PAMLICO,,2533.0,203.0,4759.0,REP
PASQUOTANK,,9900.0,,9594.0,DEM
PENDER,,10725.0,1292.0,20916.0,REP
PERQUIMANS,,2549.0,,4864.0,REP
PERSON,,8512.0,529.0,11651.0,REP
PITT,,47376.0,,37853.0,DEM
POLK,,4452.0,,7545.0,REP
RANDOLPH,,15747.0,,55475.0,REP
RICHMOND,,8563.0,,11579.0,REP
ROBESON,,16734.0,,28630.0,REP
ROCKINGHAM,,16647.0,,29969.0,REP
ROWAN,,22741.0,,48823.0,REP
RUTHERFORD,,9615.0,,23786.0,REP
SAMPSON,,10524.0,,17323.0,REP
SCOTLAND,,6999.0,,7264.0,REP
STANLY,,7938.0,,24630.0,REP
STOKES,,5471.0,,19611.0,REP
SURRY,,8952.0,,26749.0,REP
SWAIN,,2716.0,,3972.0,REP
TRANSYLVANIA,,8146.0,,11806.0,REP
TYRRELL,,763.0,,981.0,REP
UNION,,45148.0,,80770.0,REP
VANCE,,12053.0,,8414.0,DEM
WAKE,,366618.0,20970.0,223546.0,DEM
WARREN,,6423.0,,3786.0,DEM
WASHINGTON,,3340.0,,2719.0,DEM
WATAUGA,,15736.0,,14959.0,DEM
WAYNE,,23658.0,,30548.0,REP
WILKES,,7462.0,,26753.0,REP
WILSON,,20644.0,,19192.0,DEM
YADKIN,,3693.0,,15711.0,REP
YANCEY,,4048.0,,6916.0,REP
