County,Dale R. Folwell,Ronnie Chatterji,election_winner
ALAMANCE,46144,38285,Folwell
ALEXANDER,15229,4340,Folwell
ALLEGHANY,4269,1573,Folwell
ANSON,5265,5714,Chatterji
ASHE,10961,4245,Folwell
AVERY,6980,2061,Folwell
BEAUFORT,16186,9372,Folwell
BERTIE,3748,5712,Chatterji
BLADEN,9131,7331,Folwell
BRUNSWICK,54725,31083,Folwell
BUNCOMBE,65394,90497,Chatterji
BURKE,30290,13068,Folwell
CABARRUS,64949,48033,Folwell
CALDWELL,31407,10048,Folwell
CAMDEN,4196,1473,Folwell
CARTERET,29217,11686,Folwell
CASWELL,6760,4955,Folwell
CATAWBA,57243,24608,Folwell
CHATHAM,22015,25070,Chatterji
CHEROKEE,12475,3667,Folwell
CHOWAN,4402,3157,Folwell
CLAY,4934,1721,Folwell
CLEVELAND,32969,16696,Folwell
COLUMBUS,15859,9672,Folwell
CRAVEN,30731,20357,Folwell
CUMBERLAND,62152,81060,Chatterji
CURRITUCK,11520,4032,Folwell
DARE,13757,8964,Folwell
DAVIDSON,63482,23894,Folwell
DAVIE,18213,6647,Folwell
DUPLIN,13346,8583,Folwell
DURHAM,39415,136108,Chatterji
EDGECOMBE,9327,15739,Chatterji
FORSYTH,90863,104834,Chatterji
FRANKLIN,20820,15584,Folwell
GASTON,71810,39336,Folwell
GATES,3225,2494,Folwell
GRAHAM,3363,980,Folwell
GRANVILLE,16780,14043,Folwell
GREENE,4735,3803,Folwell
GUILFORD,111080,165272,Chatterji
HALIFAX,9985,15191,Chatterji
HARNETT,35135,21573,Folwell
HAYWOOD,22750,12886,Folwell
HENDERSON,41543,25092,Folwell
HERTFORD,3503,6722,Chatterji
HOKE,9378,11519,Chatterji
HYDE,1354,1042,Folwell
IREDELL,66902,31643,Folwell
JACKSON,11664,9242,Folwell
JOHNSTON,67530,39529,Folwell
JONES,3205,2171,Folwell
LEE,16287,11699,Folwell
LENOIR,14548,13209,Folwell
LINCOLN,35799,12597,Folwell
MACON,13864,6150,Folwell
MADISON,7688,4917,Folwell
MARTIN,6257,5954,Folwell
MCDOWELL,16352,5879,Folwell
MECKLENBURG,206365,342923,Chatterji
MITCHELL,6769,1910,Folwell
MONTGOMERY,8071,4390,Folwell
MOORE,36829,19009,Folwell
NASH,26125,25106,Folwell
NEW HANOVER,65295,60610,Folwell
NORTHAMPTON,3892,5953,Chatterji
ONSLOW,44940,23646,Folwell
ORANGE,23179,59455,Chatterji
PAMLICO,4790,2702,Folwell
PASQUOTANK,9911,9442,Folwell
PENDER,21482,11437,Folwell
PERQUIMANS,4905,2450,Folwell
PERSON,12498,8225,Folwell
PITT,39776,45368,Chatterji
POLK,7636,4309,Folwell
RANDOLPH,54641,16748,Folwell
RICHMOND,11367,8497,Folwell
ROBESON,24640,19833,Folwell
ROCKINGHAM,30302,16191,Folwell
ROWAN,48617,22577,Folwell
RUTHERFORD,24263,9140,Folwell
SAMPSON,16978,10890,Folwell
SCOTLAND,7176,6999,Folwell
STANLY,24665,8010,Folwell
STOKES,19393,5666,Folwell
SURRY,26700,9083,Folwell
SWAIN,4031,2664,Folwell
TRANSYLVANIA,11799,7983,Folwell
TYRRELL,1003,720,Folwell
UNION,81471,44491,Folwell
VANCE,8449,12039,Chatterji
WAKE,250945,361110,Chatterji
WARREN,3882,6349,Chatterji
WASHINGTON,2738,3302,Chatterji
WATAUGA,15040,15544,Chatterji
WAYNE,30551,23371,Folwell
WILKES,26146,8183,Folwell
WILSON,19784,20075,Chatterji
YADKIN,15515,3976,Folwell
YANCEY,7127,3831,Folwell
